6
Rengar,Mordekaiser,Taric,Trundle,Galio,Soraka,Fiora,Tristana,Brand,Tryndamere
Fiora,Varus,Fizz,Cho’Gath,Vayne,Orianna,Diana,Sivir,Jarvan,Leona
Taric,Karma,Thresh,Morgana,Talon,Hecarim,Gragas,Cho’Gath,Pantheon,Mordekaiser
Riven,Rengar,Vayne,Diana,Soraka,Rammus,Janna,Galio,Jax,Singed
Karma,Trundle,Janna,Alistar,Karthus,Vi,Brand,Maokai,Jayce,Mordekaiser
Garen,Mordekaiser,Swain,Shaco,Shyvana,Evelynn,Olaf,Karthus,Teemo,Fiora
Evelynn,Soraka,Kennen,Master,Graves,Shyvana,Shaco,Akali,Shen,Urgot,2
Jarvan,Jayce,Darius,Miss,Trundle,Hecarim,Draven,Rengar,Karthus,Kassadin,1
Shyvana,Caitlyn,Diana,Vi,Twisted,Thresh,Heimerdinger,Kayle,Kha'Zix,Karma,2
Jarvan,Veigar,Talon,Kayle,Olaf,Thresh,Pantheon,Vayne,Shen,Ashe,1
Dr.Mundo,Galio,Ashe,Miss,Fizz,Jarvan,Amumu,Udyr,Shyvana,Viktor,1
Draven,Graves,Singed,Shaco,Syndra,Trundle,Urgot,Caitlyn,Thresh,Kayle,2
Cassiopeia,Nautilus,Diana,Annie,Dr.Mundo,Vayne,Heimerdinger,Garen,Nami,Shaco,1
Skarner,Miss,Taric,Galio,Jarvan,Tristana,Brand,Ezreal,Jax,Orianna,1
Hecarim,Blitzcrank,Shyvana,Urgot,Rumble,Karthus,Viktor,Orianna,Nocturne,Dr.Mundo,1
Maokai,Tryndamere,Taric,Diana,Mordekaiser,Renekton,Darius,Viktor,Vi,Ryze,2
Twitch,Evelynn,Diana,Olaf,Gragas,Darius,Soraka,Rumble,Rammus,Swain,1
Shen,Katarina,Fiora,Annie,Shyvana,Fizz,Mordekaiser,Malphite,Kassadin,Ashe,2
Nautilus,Malphite,Thresh,Rammus,Corki,Vi,Orianna,Irelia,Shaco,Garen,1
Urgot,Galio,Rengar,Thresh,Amumu,Elise,Darius,Mordekaiser,Poppy,Nasus,1
Taric,Ryze,Master,Maokai,Heimerdinger,Singed,Tryndamere,Shyvana,Lee,Jarvan,1
Darius,Thresh,Akali,Shyvana,Annie,Fiora,Skarner,Soraka,Cho'Gath,Gragas,2
Amumu,Nasus,Jayce,Brand,Singed,Trundle,Riven,Lux,Swain,Twitch,2
Swain,Kennen,Miss,Lulu,Diana,Galio,Draven,Twisted,Malzahar,Kayle,1
Cho'Gath,Kayle,Mordekaiser,Galio,Thresh,Tristana,Master,Diana,Katarina,Kog'Maw,2
Ashe,Heimerdinger,Kayle,Shaco,Kennen,Akali,Fiora,Cho'Gath,Evelynn,Annie,1
Rengar,Vayne,Diana,Graves,Irelia,Mordekaiser,Elise,Caitlyn,Rammus,Kog'Maw,2
Corki,Swain,Kassadin,Kennen,Rammus,Taric,Nasus,Akali,Ryze,Amumu,1
Hecarim,Nasus,Shyvana,Morgana,Urgot,Lux,Miss,Annie,Vi,Mordekaiser,2
Jax,Master,Brand,Diana,Karma,Teemo,Vi,Thresh,Malphite,Heimerdinger,1
Urgot,Shaco,Rammus,Kayle,Shyvana,Talon,Soraka,Darius,LeBlanc,Ezreal,2
Ryze,Kennen,Miss,Shyvana,Malphite,Vayne,Talon,Singed,Ezreal,Garen,1
Rammus,Vayne,Annie,Talon,Brand,Gragas,Nautilus,Malphite,Skarner,Darius,1
Garen,Caitlyn,Malphite,Diana,Jax,Kayle,Renekton,Lee,Irelia,Fiora,1
Vi,Blitzcrank,Skarner,Nasus,Shyvana,Jarvan,Twitch,Evelynn,Lulu,Draven,1
Swain,Twitch,Shyvana,Garen,Riven,Rengar,Rumble,Vi,Nidalee,Ezreal,1
Jax,Rammus,Tristana,Katarina,Morgana,Cassiopeia,Elise,Taric,Fiora,Ryze,1
Riven,Rengar,Vayne,Diana,Soraka,Rammus,Janna,Galio,Jax,Singed,1
Morgana,Sion,Trundle,Teemo,Graves,Tryndamere,Soraka,Rumble,Taric,Fiora,1
Darius,Kennen,Hecarim,Morgana,Anivia,Elise,Karthus,Soraka,Miss,Fiora,2
Kha'Zix,Elise,Nidalee,Vayne,Taric,Lulu,Skarner,Vi,Malphite,Sejuani,2
Jayce,Janna,Fiora,Kha'Zix,Alistar,Blitzcrank,Diana,Cho'Gath,Mordekaiser,Brand,2
Nami,Diana,Shaco,Thresh,Caitlyn,Teemo,Kennen,Rumble,Kha'Zix,Kayle,1
Kayle,Trundle,Lee,Ezreal,Annie,Leona,Jarvan,Cho'Gath,Thresh,Vi,1
Blitzcrank,Elise,Lulu,Poppy,Orianna,Rammus,Syndra,Shaco,Nami,Corki,1
Galio,Mordekaiser,LeBlanc,Blitzcrank,Jarvan,Fiddlesticks,Lux,Fiora,Soraka,Orianna,1
Fiora,Draven,Lux,Shaco,Twisted,Garen,Leona,Pantheon,Veigar,Cassiopeia,1
Rumble,Urgot,Nasus,Garen,Karthus,Mordekaiser,Twisted,Evelynn,Vayne,Soraka,1
Shen,Blitzcrank,Nocturne,Taric,Malphite,Lulu,Irelia,Galio,Urgot,Akali,1
Rumble,Sivir,Master,Trundle,Twisted,Skarner,Sejuani,Maokai,Sion,Kog'Maw,1
Nidalee,Jax,Varus,Rammus,Ashe,Darius,Fiora,Ezreal,Galio,Mordekaiser,1
Nidalee,Pantheon,Elise,Evelynn,Sona,Vi,Graves,Tristana,Vayne,Thresh,2
Skarner,Jax,Diana,Fiora,Ashe,Corki,Thresh,Nidalee,Elise,Rumble,1
Brand,Leona,Gragas,Nocturne,Alistar,Syndra,Riven,Poppy,Miss,Lee,1
Akali,Lux,Fiora,Draven,Kha'Zix,Rammus,Poppy,Irelia,Fizz,Swain,2
Sivir,Draven,Shyvana,Shaco,Fiora,Pantheon,Olaf,Twisted,Taric,Vayne,2
Brand,Rammus,Karthus,Orianna,Nami,Kayle,Morgana,Renekton,Syndra,Taric,2
Hecarim,Ezreal,Galio,Gragas,Miss,Karthus,Lee,Kennen,Varus,Thresh,2
Cassiopeia,Twisted,Annie,Vayne,Fizz,Shaco,Nidalee,Vi,Thresh,Shyvana,1
Ezreal,Trundle,Corki,Shen,Jax,Malphite,Fiora,Udyr,Renekton,Soraka,1
Kha'Zix,Ashe,Trundle,Veigar,Garen,Lee,Shyvana,Diana,Talon,Elise,1
Lee,Shen,Trundle,Kennen,Mordekaiser,Alistar,Pantheon,Kayle,Nami,Annie,2
Rammus,Diana,Corki,Thresh,Nami,Viktor,Caitlyn,Twisted,Kog'Maw,Lee,2
Heimerdinger,Cassiopeia,Mordekaiser,Poppy,Akali,Galio,Shyvana,Udyr,Twisted,Kha'Zix,2
Mordekaiser,Nautilus,Lulu,Anivia,Karthus,Malphite,Fiora,Sona,Kayle,Nidalee,2
Tristana,Trundle,Malphite,Cassiopeia,Rumble,Diana,Miss,Darius,Akali,Draven,2
Malphite,LeBlanc,Vayne,Jarvan,Garen,Trundle,Evelynn,Ezreal,Shyvana,Sion,1
Miss,Sona,Syndra,Karthus,Sion,Urgot,Ashe,Diana,Vi,Fiddlesticks,2
Shen,Diana,Kennen,Maokai,Mordekaiser,Evelynn,Kayle,Morgana,Alistar,Shaco,1
Galio,Lux,Sion,Nocturne,Gragas,Syndra,Fiora,Evelynn,Shaco,Elise,1
LeBlanc,Mordekaiser,Diana,Miss,Lux,Fiora,Trundle,Brand,Vi,Ashe,1
Malphite,Nautilus,Twitch,Vayne,Taric,Cassiopeia,Karma,Miss,Darius,Sejuani,1
Blitzcrank,Shyvana,Fiora,Skarner,Corki,Nocturne,Heimerdinger,Trundle,Diana,Vi,2
Ashe,Twitch,Malzahar,Thresh,Evelynn,Vi,Morgana,Cho'Gath,Shyvana,Blitzcrank,1
Brand,Hecarim,Miss,Thresh,Viktor,Riven,Corki,Rumble,Diana,Vi,1
Nunu,Malzahar,Cassiopeia,Dr.Mundo,Annie,Viktor,Lux,Fiddlesticks,Janna,Orianna,2
Nami,Kog'Maw,Sivir,Karma,Dr.Mundo,Sion,Gragas,Corki,Nautilus,Irelia,2
Orianna,Talon,Ezreal,Mordekaiser,Shaco,Blitzcrank,Shyvana,Sejuani,Draven,Fiora,2
Soraka,Gragas,Karma,Shaco,Thresh,Pantheon,Twisted,Elise,Diana,Morgana,2
Darius,Diana,Sion,Nidalee,Pantheon,Heimerdinger,Kog'Maw,Shaco,Mordekaiser,Tristana,2
Ezreal,Nami,Alistar,Diana,Graves,Teemo,Miss,Shaco,Rammus,Fiora,2
Ezreal,Singed,Shyvana,Taric,Akali,Blitzcrank,Elise,Fiora,Orianna,Malphite,2
Soraka,Karma,Morgana,Cho'Gath,Trundle,Katarina,Fizz,Amumu,Malphite,Nunu,2
Ashe,Talon,Galio,Fiddlesticks,Darius,Kayle,Malphite,Orianna,Nami,Viktor,2
Irelia,Vayne,Mordekaiser,Garen,Hecarim,Nunu,Shyvana,Nasus,Darius,Gragas,1
Teemo,Shyvana,Sion,Shaco,Thresh,Trundle,Fiora,Master,Janna,Ashe,2
Corki,Teemo,Jax,Irelia,Anivia,Caitlyn,Miss,Garen,Morgana,Heimerdinger,2
Jayce,Shyvana,Pantheon,Annie,Malphite,Kassadin,Sona,Evelynn,Kennen,Trundle,1
Orianna,Jayce,Evelynn,Jax,Shyvana,Shaco,Hecarim,Annie,Lulu,Twisted,2
Talon,Fiddlesticks,Vayne,Pantheon,Shaco,Jarvan,Twitch,Galio,Corki,Twisted,2
Dr.Mundo,Irelia,Rengar,Thresh,Vayne,Lux,Cassiopeia,Trundle,Mordekaiser,Caitlyn,1
Kassadin,Blitzcrank,Anivia,Nasus,Mordekaiser,Brand,Shaco,Irelia,Thresh,Draven,2
Shyvana,Irelia,Urgot,Veigar,Riven,Blitzcrank,Ezreal,Nocturne,Rumble,Amumu,2
Kha'Zix,Draven,Jax,Pantheon,Karthus,Mordekaiser,Urgot,Diana,Cassiopeia,Shyvana,1
Olaf,Rumble,Leona,Darius,Shaco,Shyvana,Morgana,Alistar,Galio,Nami,1
Poppy,Malzahar,Ryze,Brand,Orianna,Morgana,Kennen,Draven,Pantheon,Cho'Gath,2
Cassiopeia,Thresh,Kassadin,Nautilus,Vayne,Riven,Shaco,Nocturne,Orianna,Rammus,1
Rammus,Garen,Blitzcrank,Nunu,Cassiopeia,Pantheon,Morgana,Kayle,Tryndamere,Fiddlesticks,2
Jayce,Nasus,Elise,Poppy,Urgot,Twitch,Trundle,Jax,Brand,Fiora,2
Nami,Nasus,Teemo,Cho'Gath,Elise,Kassadin,Swain,Diana,Darius,Orianna,2
Irelia,Shyvana,Riven,Master,Ashe,Cho'Gath,Leona,Taric,Morgana,Alistar,1
Kayle,Skarner,Taric,Olaf,Nocturne,Nami,Trundle,Poppy,Cassiopeia,Thresh,2
Shen,Riven,Malphite,Twitch,Diana,Syndra,Rumble,Amumu,Irelia,Lee,1
Diana,Mordekaiser,Jayce,Alistar,Cho'Gath,Twisted,Anivia,Thresh,Malzahar,Teemo,1
Alistar,Ezreal,Sona,Diana,Malzahar,Vayne,Vi,Fiddlesticks,Thresh,Brand,2
Malzahar,Evelynn,Corki,Diana,Mordekaiser,Malphite,Swain,Annie,Shyvana,Sivir,1
Lux,Sona,Nami,Diana,Veigar,Ezreal,Mordekaiser,Trundle,Vi,Fizz,2
